scene,iteration,candidate_id,parent_index,native_action,importance_score,pruning_score,grad,grad_abs,opacity,scale_x,scale_y,scale_z,scale_max,scale_min,scale_anisotropy,footprint_mean,footprint_max,footprint_area_mean,projected_radius_mean,projected_radius_max,residual_energy_mean,residual_energy_std,residual_anisotropy_mean,residual_anisotropy_std,residual_extent_mean,num_visible_views,num_valid_local_views,num_valid_demand_views,keep_local_error_0,clone_local_error_0,split_local_error_0,keep_local_error_50,clone_local_error_50,split_local_error_50,keep_local_error_100,clone_local_error_100,split_local_error_100,keep_demand_error_0,clone_demand_error_0,split_demand_error_0,keep_demand_error_100,clone_demand_error_100,split_demand_error_100,deltaQ_support_clone_100,deltaQ_support_split_100,deltaQ_demand_clone_100,deltaQ_demand_split_100,quality_action_gap,oracle_winner,oracle_basis,tile_keep_0,tile_clone_0,tile_split_0,deltaTile_clone_0,deltaTile_split_0,tile_action_gap_0,tile_keep_100,tile_clone_100,tile_split_100,deltaTile_clone_100,deltaTile_split_100,tile_action_gap_100,global_PSNR_keep_100,global_PSNR_clone_100,global_PSNR_split_100,global_SSIM_keep_100,global_SSIM_clone_100,global_SSIM_split_100,global_LPIPS_keep_100,global_LPIPS_clone_100,global_LPIPS_split_100,latency_keep_ms,latency_clone_ms,latency_split_ms,num_gaussians_keep,num_gaussians_clone,num_gaussians_split
/mnt/workspace/Dataset/room,1000,it1000_c00,1889,clone,6,9.8350276e-05,0.00048146001,0.00099314551,0.84783256,0.00357287,0.003284961,0.0026539771,0.00357287,0.0026539771,1.3462324,4.125,5,53.799774,4.125,5,0.044803667,0.009376962,1.3323048,0.34256062,15.576501,8,8,8,0.044803666,0.045050405,0.045112465,0.042520652,0.042544202,0.042713047,0.042709458,0.042793625,0.04309881,0.10148628,0.10143849,0.10127574,0.075320787,0.075375907,0.075858396,-8.4166881e-05,-0.00038935221,-5.5119861e-05,-0.00053760828,-0.00048248842,keep,demand,449118.12,449119.38,449119,1.25,0.875,-0.375,441835.62,441835.75,441835.75,0.125,0.125,0,26.216929,26.217061,26.217147,0.83979317,0.83979442,0.83979559,0.34481702,0.3448157,0.34481702,2.1136356,2.0196693,1.9698382,112627,112628,112628
/mnt/workspace/Dataset/room,1000,it1000_c01,48348,clone,7,0.00012733995,0.00025203987,0.00051440985,0.57908922,0.0044827336,0.0034308583,0.0029195282,0.0044827336,0.0029195282,1.5354308,4.2857143,5,58.343864,4.2857143,5,0.056400325,0.011756294,1.1813845,0.087701903,15.655357,7,7,7,0.056400324,0.056586022,0.056238919,0.053386198,0.053462757,0.053300059,0.050448557,0.050379398,0.05035963,0.10492765,0.10526812,0.10450026,0.076821504,0.076684544,0.07653131,6.915895e-05,8.8927469e-05,0.00013695977,0.00029019373,0.00015323396,split,demand,379461.29,379463.43,379462.29,2.1428571,1,-1.1428571,373324.86,373325.43,373325.86,0.57142857,1,0.42857143,26.217199,26.216896,26.217263,0.83979464,0.83979207,0.83979586,0.34481589,0.3448224,0.34482684,1.8806329,1.8511573,2.0069262,112627,112628,112628
/mnt/workspace/Dataset/room,1000,it1000_c02,4752,clone,8,0.00012621674,0.00026400972,0.00069732603,0.89767474,0.0062868991,0.0036215268,0.0045998022,0.0062868991,0.0036215268,1.7359803,6.5,7,133.51769,6.5,7,0.023344146,0.0063356204,1.0797763,0.052478639,17.220431,8,8,8,0.023344146,0.023367635,0.023313218,0.024321303,0.024274563,0.0245318,0.024880268,0.024972293,0.02484389,0.11221433,0.11234795,0.11097315,0.083449423,0.083850879,0.087073116,-9.2025148e-05,3.6378158e-05,-0.00040145591,-0.0036236933,-0.0032222373,keep,demand,529027.75,529030.12,529028.88,2.375,1.125,-1.25,522814.38,522819.5,522811.38,5.125,-3,-8.125,26.217052,26.216974,26.217247,0.83979238,0.83979168,0.83979436,0.3448141,0.34481865,0.34481717,2.3022862,3.0936178,2.6016427,112627,112628,112628
/mnt/workspace/Dataset/room,1000,it1000_c03,46212,clone,9,0.00016295802,0.0002146058,0.00060431071,0.40503225,0.0045753759,0.0038720365,0.0034644341,0.0045753759,0.0034644341,1.3206705,4.25,5,57.334066,4.25,5,0.053112694,0.0062694285,1.0922525,0.059889872,16.936626,8,8,8,0.053112694,0.053096195,0.053093586,0.046690874,0.046793016,0.046639134,0.045952984,0.046025386,0.045984516,0.11161274,0.11151372,0.11156914,0.077435453,0.077163013,0.077816885,-7.2401948e-05,-3.1532254e-05,0.00027243979,-0.00038143201,-0.0006538718,clone,demand,449118.12,449119.25,449119.38,1.125,1.25,0.125,441836.38,441833.88,441834.75,-2.5,-1.625,0.875,26.217077,26.217171,26.217163,0.83979278,0.83979448,0.83979387,0.34481912,0.34482846,0.34482666,2.0424142,2.8112391,2.0701582,112627,112628,112628
/mnt/workspace/Dataset/room,1000,it1000_c04,24985,clone,10,0.00015130991,0.00051725365,0.0012947896,0.72621799,0.0032730626,0.002153263,0.004738105,0.004738105,0.002153263,2.2004303,5.125,6,82.859506,5.125,6,0.051362623,0.0087450096,1.0766916,0.049304404,16.908869,8,8,8,0.051362621,0.051652726,0.051656857,0.053915612,0.054014913,0.054060326,0.051494398,0.051607394,0.051521673,0.11912236,0.11944938,0.11889474,0.11471771,0.11473718,0.11439324,-0.00011299597,-2.7275179e-05,-1.9469298e-05,0.00032447558,0.00034394488,split,demand,563654.88,563656.75,563656.12,1.875,1.25,-0.625,556933.88,556933.75,556936.25,-0.125,2.375,2.5,26.217054,26.217189,26.216734,0.83979269,0.83979505,0.83978912,0.34482317,0.3448274,0.34482726,3.3201493,1.9576604,2.0841813,112627,112628,112628
/mnt/workspace/Dataset/room,1000,it1000_c05,46622,clone,12,0.0002074754,0.00050011463,0.0012833838,0.95832139,0.0045294994,0.0045014722,0.0057153958,0.0057153958,0.0045014722,1.2696726,4.875,5,75.005525,4.875,5,0.047298257,0.0058604891,1.0894921,0.0539963,17.585534,8,8,8,0.047298254,0.047300846,0.04747781,0.041684468,0.041785022,0.042267655,0.041929282,0.041804128,0.04209924,0.10908737,0.10879897,0.10844543,0.076483855,0.076253018,0.076799556,0.00012515485,-0.00016995706,0.00023083715,-0.00031570066,-0.00054653781,clone,demand,449118.12,449119.88,449119.62,1.75,1.5,-0.25,441837,441834.88,441836.75,-2.125,-0.25,1.875,26.21679,26.217051,26.216774,0.83979394,0.8397946,0.83979216,0.34482315,0.3448173,0.34481947,1.9424214,2.0229654,2.1192249,112627,112628,112628
/mnt/workspace/Dataset/room,1000,it1000_c06,81591,clone,12,0.00020302738,0.00029574591,0.00070696371,0.68496972,0.0062750364,0.0045220884,0.0031696877,0.0062750364,0.0031696877,1.9797018,5.4285714,6,93.350182,5.4285714,6,0.055305023,0.011506572,1.1740992,0.079388088,16.391013,7,7,7,0.055305024,0.055892091,0.055178619,0.052470822,0.052775009,0.052897941,0.049623389,0.049512087,0.049406862,0.10420849,0.10527806,0.10321651,0.076298296,0.07635211,0.076104044,0.00011130209,0.00021652718,-5.3813415e-05,0.0001942526,0.00024806602,split,demand,379461.29,379463.71,379462.14,2.4285714,0.85714286,-1.5714286,373323.71,373326.71,373325.71,3,2,-1,26.216951,26.21699,26.217023,0.83979414,0.83979402,0.83979285,0.34482241,0.34481938,0.34481574,2.6457849,2.0426525,1.9547022,112627,112628,112628
/mnt/workspace/Dataset/room,1000,it1000_c07,11656,clone,15,0.00023534459,0.00020638006,0.00053202093,0.6172049,0.0050182408,0.0050796783,0.0031234222,0.0050796783,0.0031234222,1.6263182,6,7,115.45353,6,7,0.042922262,0.012112855,1.1352721,0.05394395,17.952372,8,8,8,0.042922261,0.042941455,0.043296913,0.039951602,0.040024024,0.040337625,0.040814748,0.040782937,0.040989694,0.11573223,0.11589168,0.1158508,0.095893549,0.095866682,0.09594928,3.1810487e-05,-0.00017494638,2.6866794e-05,-5.5731274e-05,-8.2598068e-05,clone,demand,563654.88,563656.88,563656.5,2,1.625,-0.375,556935.38,556936.12,556934.12,0.75,-1.25,-2,26.217104,26.216861,26.217252,0.83979449,0.83979241,0.83979298,0.34481689,0.3448176,0.34482346,2.7182862,2.6452196,1.9866809,112627,112628,112628
/mnt/workspace/Dataset/room,1000,it1000_c08,152,clone,20,0.00033638344,0.00020521806,0.00054993428,0.42296758,0.0057196566,0.0035311286,0.0034396348,0.0057196566,0.0034396348,1.6628674,5.625,6,100.13827,5.625,6,0.041942077,0.0049893374,1.182918,0.076104353,16.501497,8,8,8,0.041942077,0.042033704,0.042008885,0.043347824,0.043363238,0.043461238,0.040040078,0.040044365,0.040029055,0.13801384,0.13807912,0.1379502,0.12869778,0.12847595,0.1288696,-4.2873435e-06,1.1023134e-05,0.00022182893,-0.00017181691,-0.00039364584,clone,demand,506812.75,506814.38,506813.62,1.625,0.875,-0.75,502208.75,502209.62,502209.38,0.875,0.625,-0.25,26.216979,26.217184,26.217202,0.83979357,0.83979492,0.83979348,0.34482235,0.34481649,0.34481971,1.8915484,1.9632356,2.8722204,112627,112628,112628
/mnt/workspace/Dataset/room,1000,it1000_c09,42935,clone,24,0.00040511129,0.00061434752,0.0015702363,0.83298641,0.0054271943,0.0050490163,0.0038880829,0.0054271943,0.0038880829,1.3958535,5.625,6,100.13827,5.625,6,0.057249599,0.0085924963,1.188182,0.073447781,17.59466,8,8,8,0.057249597,0.057784985,0.058487064,0.063109644,0.063113492,0.063845949,0.058706483,0.058632807,0.058557534,0.12613586,0.12700342,0.12854066,0.11523373,0.11481469,0.11546314,7.3675532e-05,0.00014894921,0.00041904394,-0.0002294071,-0.00064845104,clone,demand,506812.75,506814.62,506813.5,1.875,0.75,-1.125,502207.75,502208.62,502210.25,0.875,2.5,1.625,26.21707,26.217133,26.217042,0.83979318,0.83979559,0.83979518,0.34481689,0.34482151,0.34482147,2.1139093,2.3882098,1.9723378,112627,112628,112628
